institute_id,name,TLR,RPC,GO,OI,PRECEPTION,city,state,score,nirf_rank,link,no. of male students,no. of female students,total students,Academic Year,No. of first year students intake in the year,No. of first year students admitted the year,Academic Year in,No. of students admitted through Lateral entry,Academic Year,No. of students graduating in minimum stipulated time,No. of students placed,Median salary of placed graduates(Amount Rs.),No. of students selected for Higher in Studies
IR-E-U-0456,Indian Institute of Technology Madras,95.42,94.64,83.90,61.31,100.00,Chennai,Tamil Nadu,89.93,1,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0456.pdf,1814,272,2086,2015-16,466,458,2016-17,0,2018-19,362,268,1360000,65
IR-E-I-1074,Indian Institute of Technology Delhi,90.79,96.15,80.36,64.81,94.46,New Delhi,Delhi,88.08,2,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-I-1074.pdf,2856,345,3201,2015-16,749,746,2016-17,0,2018-19,615,495,1570000,78
IR-E-U-0306,Indian Institute of Technology Bombay,91.00,93.37,77.60,49.99,92.51,Mumbai,Maharashtra,85.08,3,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0306.pdf,2795,307,3102,2015-16,717,666,2016-17,0,2018-19,615,430,1178400,125
IR-E-I-1075,Indian Institute of Technology Kanpur,86.22,82.08,88.44,54.21,85.78,Kanpur,Uttar Pradesh,82.18,4,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-I-1075.pdf,3184,303,3487,2015-16,827,803,2016-17,0,2018-19,770,437,1500000,301
IR-E-U-0573,Indian Institute of Technology Kharagpur,77.32,87.11,83.21,56.62,89.31,Kharagpur,West Bengal,80.56,5,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0573.pdf,2251,224,2475,2015-16,656,637,2016-17,0,2018-19,535,437,1420059,53
IR-E-U-0560,Indian Institute of Technology Roorkee,77.21,76.57,89.65,61.71,60.55,Roorkee,Uttarakhand,76.29,6,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0560.pdf,3123,321,3444,2015-16,900,880,2016-17,0,2018-19,825,726,1450900,99
IR-E-U-0053,Indian Institute of Technology Guwahati,83.04,70.73,83.03,59.13,62.45,Guwahati,Assam,74.90,7,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0053.pdf,2470,267,2737,2015-16,660,629,2016-17,0,2018-19,578,567,1500000,6
IR-E-U-0013,Indian Institute of Technology Hyderabad,82.51,52.47,71.54,55.98,60.42,Hyderabad,Telangana,66.44,8,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0013.pdf,969,186,1155,2015-16,220,203,2016-17,0,2018-19,191,124,1200000,40
IR-E-U-0467,National Institute of Technology Tiruchirappalli,72.11,50.04,74.71,61.49,63.68,Tiruchirappalli,Tamil Nadu,64.10,9,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0467.pdf,2719,662,3381,2015-16,884,839,2016-17,0,2018-19,803,577,900000,168
IR-E-U-0273,Indian Institute of Technology Indore,79.89,53.31,72.09,57.76,27.15,Indore,Madhya Pradesh,62.88,10,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0273.pdf,798,88,886,2015-16,120,111,2016-17,0,2018-19,102,74,1300000,15
IR-E-U-0701,Indian Institute of Technology (BHU) Varanasi,72.34,47.77,77.77,56.07,53.49,Varanasi,Uttar Pradesh,62.54,11,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0701.pdf,2882,257,3139,2015-16,815,757,2016-17,0,2018-19,754,699,1360000,35
IR-E-U-0205,Indian Institute of Technology (Indian School of Mines),64.02,63.12,72.11,55.07,39.78,Dhanbad,Jharkhand,62.06,12,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0205.pdf,2995,270,3265,2015-16,814,782,2016-17,0,2018-19,777,603,850000,19
IR-E-U-0237,National Institute of Technology Karnataka,68.93,46.03,78.67,55.24,55.59,Surathkal,Karnataka,61.30,13,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0237.pdf,2676,566,3242,2015-16,868,825,2016-17,0,2018-19,788,692,800000,92
IR-E-U-0439,Anna University,64.62,54.07,61.50,51.62,68.24,Chennai,Tamil Nadu,59.89,14,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0439.pdf,6158,4262,10420,2015-16,2740,2748,2016-17,9,2018-19,2558,1302,500000,107
IR-E-U-0490,Vellore Institute of Technology,56.79,64.06,63.07,58.21,46.29,Vellore,Tamil Nadu,59.32,15,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0490.pdf,19206,3938,23144,2015-16,6220,5117,2016-17,0,2018-19,4666,2968,550000,897
IR-E-U-0357,National Institute of Technology Rourkela,64.38,57.82,74.30,47.23,30.48,Rourkela,Odisha,59.29,16,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0357.pdf,2231,474,2705,2015-16,630,606,2016-17,0,2018-19,511,452,650000,48
IR-E-U-0575,Jadavpur University,53.73,62.04,76.45,40.45,51.61,Kolkata,West Bengal,59.23,17,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0575.pdf,3928,357,4285,2015-16,1034,1050,2016-17,22,2018-19,890,748,830000,132
IR-E-U-0308,Institute of Chemical Technology,68.13,54.04,74.66,45.17,25.98,Mumbai,Maharashtra,58.70,18,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0308.pdf,593,248,841,2015-16,211,214,2016-17,0,2018-19,214,99,475000,84
IR-E-U-0025,National Institute of Technology Warangal,73.38,38.12,74.21,57.81,36.91,Warangal,Telangana,57.76,19,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0025.pdf,2707,920,3627,2015-16,800,785,2016-17,0,2018-19,752,644,901325,65
IR-E-U-0436,Amrita School of Engineering,65.77,56.76,59.00,60.07,28.01,Amritapuri,Kerala,57.37,20,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0436.pdf,7011,1949,8960,2015-16,2040,2150,2016-17,0,2018-19,1768,1199,400000,343
IR-E-U-0584,Indian Institute of Engineering Science and Technology,69.57,47.62,63.17,47.92,45.56,Shibpur,West Bengal,57.14,21,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0584.pdf,1937,310,2247,2015-16,637,610,2016-17,0,2018-19,439,316,650000,52
